name,pressure_bar,temperature_K,target_mol_kg,density_g_cm3,target_cm3_cm3,pred_cm3_cm3,abs_error,rel_error_pct,sf_lcd,sf_pld,sf_vf,status
DB6-cuf_7523,1.0,298.15,0.003684,0.4828,0.0399,129.5358,129.496,324852.43,7.68,1.5,0.629,ok
DB7-ddmof_6678,1.0,298.15,0.003684,0.7205,0.0595,125.497,125.4375,210848.86,13.18,4.32,0.556,ok
DB5-hypotheticalMOF_5018595_0_0_0_19_12_10,1.0,298.15,0.003684,0.4087,0.0338,126.6137,126.58,375032.37,7.22,1.92,0.65,ok
DB5-hypotheticalMOF_5017164_2_0_0_19_25_6,1.0,298.15,0.003685,0.3094,0.0256,97.2701,97.2446,380448.53,7.92,3.58,0.765,ok
DB0-m3_o9_o23_f0_nbo.sym.68,1.0,298.15,0.003685,0.541,0.0447,126.7838,126.7391,283585.11,8.89,5.11,0.55,ok
DB0-m2_o11_o28_f0_nbo.sym.55,1.0,298.15,0.003686,0.3494,0.0289,105.8992,105.8703,366685.26,18.62,5.05,0.701,ok
DB0-m2_o5_o27_f0_nbo.sym.12,1.0,298.15,0.003687,0.4734,0.0391,130.1632,130.124,332604.21,15.32,3.67,0.636,ok
DB0-m3_o21_o26_f0_pcu.sym.2,1.0,298.15,0.003687,0.3614,0.0299,116.6568,116.6269,390552.39,6.97,1.55,0.69,ok
DB0-m2_o11_o28_f0_nbo.sym.35,1.0,298.15,0.003687,0.2975,0.0246,90.2931,90.2685,367181.18,18.68,5.13,0.766,ok
DB0-m3_o2_o22_f0_pcu.sym.17,1.0,298.15,0.003687,0.7697,0.0636,91.2832,91.2196,143407.38,6.11,1.5,0.245,ok
DB0-m3_o6_o28_f0_pcu.sym.82,1.0,298.15,0.003688,0.3506,0.029,115.9694,115.9404,400079.71,9.38,2.35,0.695,ok
DB15-pcu_N65_E225_opt,1.0,298.15,0.003689,0.3011,0.0249,97.6767,97.6518,392312.79,8.95,3.51,0.766,ok
DB0-m2_o14_o25_f0_nbo.sym.10,1.0,298.15,0.003689,0.4019,0.0332,128.3246,128.2914,386027.86,8.82,5.02,0.679,ok
DB1-Zn2O8N2-ADC_A-DPAC_A_No17,1.0,298.15,0.00369,0.3621,0.03,115.0076,114.9776,383868.51,7.09,3.05,0.735,ok
DB1-Zn2O8N2-DPAC_A-irmof20_A_No541,1.0,298.15,0.003691,0.403,0.0333,133.0236,132.9903,398948.37,12.11,3.06,0.708,ok
DB7-ddmof_18374,1.0,298.15,0.003691,0.3047,0.0252,87.1157,87.0905,345570.49,11.51,6.68,0.762,ok
DB0-m2_o11_o24_f0_pcu.sym.84,1.0,298.15,0.00623,0.9201,0.1285,97.4273,97.2988,75731.5,4.42,1.5,0.28,ok
DB1-Cu2O8N2-BDC_A-DPAC_A_No551,1.0,298.15,0.006232,0.8469,0.1183,104.3446,104.2263,88099.24,11.23,1.5,0.407,ok
DB0-m3_o24_o52_f0_fsc.sym.14,1.0,298.15,0.006233,0.9981,0.1394,97.0087,96.8693,69465.27,6.01,1.5,0.258,ok
DB0-m2_o16_o29_f0_pcu.sym.3,1.0,298.15,0.006236,0.5225,0.073,133.4169,133.3439,182592.74,11.0,1.5,0.508,ok
DB0-m3_o24_o52_f0_fsc.sym.1,1.0,298.15,0.006236,0.9117,0.1274,100.3537,100.2263,78651.0,6.0,1.5,0.305,ok
DB0-m1_o41_o20_fsc,1.0,298.15,0.006236,0.6512,0.091,112.9861,112.8951,124033.31,6.67,1.5,0.533,ok
DB0-m3_o93_o23_f0_fsc.sym.9,1.0,298.15,0.006238,0.935,0.1307,124.8249,124.6942,95387.33,5.68,1.5,0.216,ok
DB0-m3_o7_o15_f0_pcu.sym.35,1.0,298.15,0.00624,0.6937,0.097,110.4048,110.3078,113696.98,7.12,1.5,0.435,ok
DB0-m2_o16_o28_f0_pcu.sym.104,1.0,298.15,0.006243,0.5797,0.0811,140.3943,140.3132,172982.79,9.34,1.5,0.479,ok
DB0-m3_o96_o23_f0_fsc.sym.8,1.0,298.15,0.006244,0.6157,0.0862,136.3118,136.2256,158084.94,6.4,1.65,0.475,ok
DB0-m3_o25_o115_f0_fsc.sym.41,1.0,298.15,0.006247,0.5915,0.0828,143.979,143.8962,173752.98,6.67,2.06,0.484,ok
DB5-hypotheticalMOF_5036689_1_1_1_18_24_0,1.0,298.15,0.006247,0.6254,0.0876,138.7469,138.6593,158331.18,6.8,2.17,0.489,ok
DB0-m9_o3_o25_f0_sra.sym.58,1.0,298.15,0.00625,0.751,0.1052,112.1693,112.0641,106530.55,10.66,1.5,0.299,ok
DB0-m2_o11_o18_f0_pcu.sym.6,1.0,298.15,0.006252,0.7199,0.1009,113.8393,113.7385,112757.02,6.38,1.5,0.392,ok
DB0-m3_o16_o43_f0_fsc.sym.16,1.0,298.15,0.019985,0.8433,0.3777,152.0744,151.6967,40159.79,6.02,1.5,0.313,ok
DB0-m3_o52_o13_f0_fsc.sym.4,1.0,298.15,0.019996,0.8585,0.3848,120.9319,120.5471,31329.48,6.03,1.5,0.267,ok
DB0-m3_o158_o151_f0_fsc.sym.42,1.0,298.15,0.020001,0.8274,0.3709,123.7903,123.4194,33274.02,7.75,1.5,0.285,ok
DB0-m3_o440_o158_f0_fsc.sym.53,1.0,298.15,0.020002,1.0774,0.483,112.6829,112.1999,23229.05,5.38,1.5,0.154,ok
DB0-m3_o43_o155_f0_fsc.sym.37,1.0,298.15,0.020014,0.7663,0.3438,142.672,142.3283,41404.11,7.03,1.5,0.299,ok
DB5-hypotheticalMOF_5074449_0_0_2_23_10_12,1.0,298.15,0.020015,0.8741,0.3922,112.3201,111.928,28541.99,6.82,1.5,0.088,ok
DB0-m3_o153_o159_f0_fsc.sym.5,1.0,298.15,0.020023,0.8805,0.3952,141.1495,140.7543,35618.86,5.36,1.5,0.233,ok
DB0-m3_o44_o158_f0_fsc.sym.38,1.0,298.15,0.020028,1.1106,0.4986,83.1616,82.663,16580.51,5.43,1.5,0.05,ok
DB0-m3_o153_o13_f0_fsc.sym.7,1.0,298.15,0.020064,0.9662,0.4345,134.9652,134.5307,30959.35,5.22,1.5,0.266,ok
DB0-m3_o450_o158_f0_fsc.sym.95,1.0,298.15,0.020081,0.9982,0.4493,104.71,104.2607,23206.02,5.36,1.5,0.088,ok
DB0-m3_o1520_o155_f0_fsc.sym.12,1.0,298.15,0.020087,0.769,0.3462,139.4933,139.1471,40187.87,7.02,1.5,0.341,ok
DB0-m2_o42_o150_f0_fsc,1.0,298.15,0.0201,0.8804,0.3966,134.2789,133.8823,33754.58,5.36,1.5,0.263,ok
DB0-m3_o148_o159_f0_fsc.sym.2,1.0,298.15,0.02012,0.9256,0.4174,135.4732,135.0557,32355.43,5.36,1.5,0.235,ok
DB0-m3_o153_o159_f0_fsc.sym.61,1.0,298.15,0.020124,0.9006,0.4062,133.1665,132.7603,32681.25,5.36,1.5,0.229,ok
DB0-m3_o18_o145_f0_fsc,1.0,298.15,0.02015,0.8459,0.3821,132.0987,131.7167,34474.97,5.68,1.5,0.275,ok
DB0-m3_o25_o46_f0_fsc.sym.48,1.0,298.15,0.020166,1.3225,0.5978,109.931,109.3333,18290.5,5.68,1.5,0.25,ok
DB0-m3_o25_o490_f0_fsc.sym.23,1.0,298.15,0.020199,0.9565,0.433,125.6318,125.1988,28911.14,5.73,1.5,0.18,ok
DB0-m3_o155_o44_f0_fsc.sym.26,1.0,298.15,0.028326,0.8019,0.5091,118.6796,118.1704,23209.7,7.03,1.5,0.216,ok
DB0-m3_o49_o13_f0_fsc.sym.13,1.0,298.15,0.028339,1.1397,0.7239,105.7854,105.0614,14512.82,4.58,1.5,0.05,ok
DB0-m3_o4_o42_f0_fsc,1.0,298.15,0.028349,1.0678,0.6785,126.6137,125.9353,18561.48,4.4,1.5,0.188,ok
DB0-m3_o18_o1490_f0_fsc.sym.34,1.0,298.15,0.028361,0.9845,0.6258,125.0598,124.4339,19882.9,5.69,1.5,0.189,ok
DB0-m3_o1470_o159_f0_fsc.sym.48,1.0,298.15,0.028363,1.0122,0.6435,119.5434,118.8999,18477.99,5.37,1.5,0.14,ok
DB0-m3_o17_o1500_f0_fsc.sym.16,1.0,298.15,0.028372,0.8421,0.5355,108.7262,108.1907,20203.04,5.99,1.5,0.21,ok
DB0-m3_o46_o159_f0_fsc.sym.55,1.0,298.15,0.028377,1.0623,0.6757,118.871,118.1953,17493.06,5.36,1.5,0.171,ok
DB12-CUVGOQ_freeONLY,1.0,298.15,0.028384,1.0021,0.6375,79.8513,79.2138,12425.2,5.34,1.5,0.05,ok
DB5-hypotheticalMOF_29125_0_0_2_25_7_12,1.0,298.15,0.028389,1.0343,0.6581,101.4666,100.8085,15317.25,7.08,1.5,0.05,ok
DB0-m3_o1490_o158_f0_fsc.sym.18,1.0,298.15,0.028398,0.982,0.6251,117.6955,117.0704,18729.5,5.36,1.5,0.162,ok
DB0-m3_o153_o155_f0_fsc.sym.77,1.0,298.15,0.028408,0.8185,0.5212,134.1708,133.6496,25642.36,7.02,1.5,0.292,ok
DB0-m3_o1480_o159_f0_fsc.sym.70,1.0,298.15,0.028419,1.0838,0.6904,123.7571,123.0667,17826.48,5.38,1.5,0.095,ok
DB0-m3_o81_o22_f0_fsc.sym.3,1.0,298.15,0.028424,1.3493,0.8596,111.568,110.7084,12878.8,5.9,1.5,0.05,ok
DB0-m3_o1520_o155_f0_fsc.sym.2,1.0,298.15,0.028451,0.8678,0.5534,133.2738,132.7204,23983.16,7.01,1.5,0.19,ok
DB0-m3_o160_o49_f0_fsc.sym.22,1.0,298.15,0.028454,1.0151,0.6474,132.8453,132.1979,20419.92,5.36,1.5,0.162,ok
DB0-m3_o13_o510_f0_fsc.sym.67,1.0,298.15,0.028457,1.0928,0.697,91.0009,90.3039,12955.21,5.25,1.5,0.098,ok
DB0-m3_o152_o18_f0_fsc.sym.11,1.0,298.15,0.028468,0.9605,0.6129,117.3167,116.7038,19042.08,5.63,1.5,0.147,ok
DB0-m3_o152_o155_f0_fsc.sym.8,1.0,298.15,0.028468,0.8367,0.5339,133.8113,133.2774,24964.33,7.01,1.5,0.2,ok
DB12-DONNEA_freeONLY,1.0,298.15,0.02847,1.2349,0.788,79.5899,78.8019,9999.63,4.42,1.5,0.105,ok
DB0-m3_o1530_o156_f0_fsc.sym.87,1.0,298.15,0.028486,0.878,0.5606,136.7513,136.1908,24294.82,6.99,1.5,0.214,ok
DB0-m3_o1490_o155_f0_fsc.sym.63,1.0,298.15,0.028495,0.9091,0.5806,129.9188,129.3382,22275.67,7.02,1.5,0.197,ok
DB0-m3_o160_o147_f0_fsc.sym.25,1.0,298.15,0.028526,1.0158,0.6495,128.7732,128.1237,19727.05,5.36,1.5,0.143,ok
DB0-m3_o48_o159_f0_fsc.sym.64,1.0,298.15,0.028531,1.0399,0.665,123.9899,123.3249,18545.14,5.36,1.5,0.131,ok
DB0-m3_o152_o156_f0_fsc.sym.29,1.0,298.15,0.028541,0.8033,0.5139,144.1336,143.6197,27946.61,6.99,1.5,0.282,ok
DB0-m3_o43_o156_f0_fsc.sym.90,1.0,298.15,0.028566,0.7549,0.4834,135.0739,134.5905,27844.04,6.99,1.5,0.291,ok
DB0-m3_o156_o45_f0_fsc.sym.32,1.0,298.15,0.028566,0.8218,0.5262,122.7642,122.238,23229.91,7.01,1.5,0.242,ok
DB0-m3_o24_o82_f0_fsc.sym.40,1.0,298.15,0.028568,1.45,0.9285,84.754,83.8255,9028.42,5.35,1.5,0.05,ok
DB0-m3_o153_o158_f0_fsc.sym.85,1.0,298.15,0.028572,0.9513,0.6092,104.1764,103.5672,17000.91,5.35,1.5,0.175,ok
DB0-m3_o480_o158_f0_fsc.sym.11,1.0,298.15,0.028572,1.0395,0.6657,126.6477,125.982,18924.34,5.34,1.5,0.168,ok
DB0-m3_o156_o510_f0_fsc.sym.5,1.0,298.15,0.028574,0.8487,0.5436,137.3396,136.7961,25166.8,7.01,1.5,0.322,ok
DB0-m3_o158_o47_f0_fsc.sym.15,1.0,298.15,0.028585,0.991,0.6349,123.8236,123.1886,19402.6,5.37,1.5,0.193,ok
DB0-m3_o16_o45_f0_fsc.sym.73,1.0,298.15,0.028589,1.0269,0.658,137.0452,136.3871,20726.09,5.11,1.5,0.165,ok
DB0-m3_o147_o156_f0_fsc.sym.3,1.0,298.15,0.028589,1.0222,0.655,111.3284,110.6734,16895.91,7.02,1.5,0.071,ok
DB0-m3_o1490_o155_f0_fsc.sym.31,1.0,298.15,0.035753,0.9232,0.7399,121.1269,120.387,16271.72,7.03,1.5,0.152,ok
DB0-m3_o51_o4_f0_fsc.sym.35,1.0,298.15,0.035755,1.1064,0.8867,89.5183,88.6316,9995.95,5.22,1.5,0.083,ok
DB0-m3_o490_o158_f0_fsc.sym.34,1.0,298.15,0.035755,1.2112,0.9707,89.452,88.4813,9115.13,5.38,1.5,0.05,ok
DB5-hypotheticalMOF_35592_0_0_2_14_2_4,1.0,298.15,0.035757,1.0725,0.8596,118.6477,117.7881,13703.15,5.34,1.5,0.236,ok
DB0-m3_o42_o155_f0_fsc.sym.11,1.0,298.15,0.035758,0.9478,0.7596,109.6065,108.8469,14329.02,7.13,1.5,0.075,ok
DB0-m3_o24_o147_f0_fsc.sym.34,1.0,298.15,0.035769,1.3447,1.0781,85.5341,84.456,7833.77,4.35,1.5,0.05,ok
DB0-m3_o1490_o156_f0_fsc.sym.8,1.0,298.15,0.035775,0.9338,0.7488,128.8769,128.1281,17111.54,7.0,1.5,0.201,ok
DB0-m3_o1520_o156_f0_fsc.sym.69,1.0,298.15,0.035794,0.8609,0.6907,132.9523,132.2616,19148.28,6.99,1.5,0.241,ok
DB0-m3_o153_o4_f0_fsc.sym.38,1.0,298.15,0.0358,1.1388,0.9138,105.9846,105.0709,11498.7,5.21,1.5,0.123,ok
DB0-m3_o16_o51_f0_fsc.sym.72,1.0,298.15,0.0358,1.0007,0.803,93.5346,92.7317,11548.57,5.27,1.5,0.079,ok
DB0-m3_o48_o156_f0_fsc.sym.9,1.0,298.15,0.035805,0.9149,0.7343,139.868,139.1338,18948.96,6.98,1.5,0.208,ok
DB0-m3_o155_o45_f0_fsc.sym.28,1.0,298.15,0.035832,0.8933,0.7174,113.0468,112.3294,15657.01,7.04,1.5,0.11,ok
DB0-m3_o1490_o156_f0_fsc.sym.19,1.0,298.15,0.035887,1.0643,0.8561,131.3916,130.5355,15248.19,6.99,1.5,0.196,ok
DB0-m3_o153_o158_f0_fsc.sym.17,1.0,298.15,0.035899,0.9519,0.766,113.2901,112.5241,14690.41,5.36,1.5,0.1,ok
DB1-Al2O6-ADC_B-BDC_B_No351,1.0,298.15,0.035921,1.114,0.8969,83.964,83.0671,9261.46,8.29,1.5,0.05,ok
DB0-m3_o1480_o156_f0_fsc.sym.23,1.0,298.15,0.035923,0.9835,0.7919,131.3211,130.5292,16483.91,6.99,1.5,0.207,ok
DB0-m3_o1480_o156_f0_fsc.sym.20,1.0,298.15,0.035933,1.0305,0.83,124.9255,124.0955,14951.13,7.0,1.5,0.194,ok
DB0-m3_o113_o22_f0_fsc.sym.17,1.0,298.15,0.03597,1.429,1.1521,100.0437,98.8917,8583.67,4.95,1.5,0.05,ok
DB0-m3_o500_o156_f0_fsc.sym.22,1.0,298.15,0.035972,0.9169,0.7393,132.4893,131.75,17820.94,6.99,1.5,0.188,ok
DB0-m3_o1490_o156_f0_fsc.sym.13,1.0,298.15,0.035975,0.9197,0.7416,134.0629,133.3213,17977.34,7.01,1.5,0.184,ok
DB0-m3_o1_o153_f0_fsc.sym.41,1.0,298.15,0.035982,1.0861,0.876,98.6539,97.778,11162.33,5.21,1.5,0.085,ok
DB0-m3_o51_o4_f0_fsc.sym.2,1.0,298.15,0.035984,0.975,0.7864,103.8129,103.0264,13100.71,5.23,1.5,0.204,ok
DB0-m3_o16_o147_f0_fsc.sym.10,1.0,298.15,0.035993,1.1302,0.9118,114.3298,113.418,12439.52,4.87,1.5,0.088,ok
DB0-m3_o18_o47_f0_fsc.sym.16,1.0,298.15,0.036002,1.1744,0.9477,107.7081,106.7604,11265.31,5.63,1.5,0.097,ok
DB0-m3_o490_o22_f0_fsc.sym.1,1.0,298.15,0.036011,1.2385,0.9997,100.3132,99.3136,9934.57,4.29,1.5,0.05,ok
DB0-m3_o18_o51_f0_fsc.sym.30,1.0,298.15,0.036014,1.0138,0.8183,113.7171,112.8987,13796.23,5.81,1.5,0.134,ok
DB0-m15_o14_o97_f0_fsc,1.0,298.15,0.036039,1.1306,0.9133,104.0924,103.1791,11297.63,6.27,1.5,0.058,ok
DB0-m3_o1520_o156_f0_fsc.sym.13,1.0,298.15,0.036055,0.8766,0.7084,124.9255,124.2171,17534.44,7.0,1.5,0.158,ok
DB0-m3_o81_o4_f0_fsc.sym.1,1.0,298.15,0.036074,1.1792,0.9535,101.8905,100.937,10586.21,5.89,1.5,0.054,ok
DB0-m3_o156_o150_f0_fsc.sym.104,1.0,298.15,0.036095,0.8677,0.702,138.7469,138.0449,19665.1,6.99,1.5,0.196,ok
DB0-m3_o16_o150_f0_fsc.sym.96,1.0,298.15,0.036097,0.9269,0.75,114.8532,114.1032,15214.4,6.03,1.5,0.133,ok
DB0-m3_o156_o150_f0_fsc.sym.64,1.0,298.15,0.036116,0.7947,0.6433,124.8249,124.1816,19302.81,7.0,1.5,0.234,ok
DB0-m3_o16_o1530_f0_fsc.sym.37,1.0,298.15,0.036117,1.0554,0.8544,111.0894,110.235,12902.14,5.2,1.5,0.096,ok
DB0-m3_o490_o155_f0_fsc.sym.33,1.0,298.15,0.036127,0.9734,0.7883,104.71,103.9218,13183.84,7.03,1.5,0.078,ok
DB1-Al2O6-ADC_B-BDC_B_No167,1.0,298.15,0.036131,1.114,0.9022,83.964,83.0618,9207.06,8.29,1.5,0.05,ok
DB0-m3_o460_o14_f0_fsc.sym.19,1.0,298.15,0.11631,1.4241,3.7126,85.6898,81.9772,2208.07,3.72,1.5,0.05,ok
DB0-m3_o51_o15_f0_fsc.sym.14,1.0,298.15,0.117694,1.4597,3.8506,83.8678,80.0173,2078.07,5.27,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.3,1.0,298.15,0.1183,1.1934,3.1644,94.293,91.1286,2879.79,5.21,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.22,1.0,298.15,0.119052,1.287,3.4343,95.8668,92.4325,2691.43,5.21,1.5,0.05,ok
DB12-MIMVEJ_freeONLY,1.0,298.15,0.120284,1.3041,3.516,85.1661,81.6502,2322.27,6.2,1.5,0.05,ok
DB12-MIMVEJ_clean,1.0,298.15,0.120544,1.3041,3.5236,85.1604,81.6368,2316.88,6.2,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.2,1.0,298.15,0.121062,1.3569,3.682,86.8169,83.1349,2257.87,4.3,1.5,0.05,ok
DB0-m3_o51_o15_f0_fsc.sym.3,1.0,298.15,0.121597,1.1702,3.1895,89.7295,86.54,2713.29,5.26,1.5,0.05,ok
DB0-m3_o153_o14_f0_fsc.sym.62,1.0,298.15,0.121846,1.2789,3.4927,85.2637,81.771,2341.19,5.21,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.16,1.0,298.15,0.124148,1.3447,3.7417,86.1529,82.4111,2202.5,4.3,1.5,0.05,ok
DB5-hypotheticalMOF_36346_0_0_2_16_2_12,1.0,298.15,0.124438,1.1895,3.3176,87.728,84.4104,2544.31,5.94,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.17,1.0,298.15,0.125948,1.318,3.7208,87.5804,83.8596,2253.79,4.3,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.16,1.0,298.15,0.126327,1.3562,3.8401,79.0707,75.2307,1959.11,5.21,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.26,1.0,298.15,0.127587,1.3735,3.9277,88.9535,85.0257,2164.75,5.1,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.15,1.0,298.15,0.129771,1.4236,4.1407,84.3098,80.1691,1936.12,4.29,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.21,1.0,298.15,0.132896,1.5359,4.575,84.8454,80.2704,1754.53,4.29,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.3,1.0,298.15,0.133385,1.3408,4.0085,85.1719,81.1634,2024.81,4.3,1.5,0.05,ok
DB0-m3_o47_o15_f0_fsc.sym.22,1.0,298.15,0.134304,1.3342,4.0162,84.5943,80.5781,2006.33,4.52,1.5,0.05,ok
DB0-m3_o44_o15_f0_fsc.sym.16,1.0,298.15,0.135783,1.2528,3.8127,88.1425,84.3298,2211.79,5.43,1.5,0.05,ok
DB0-m3_o49_o14_f0_fsc.sym.2,1.0,298.15,0.136404,1.3152,4.0209,87.0336,83.0127,2064.53,4.34,1.5,0.05,ok
DB0-m3_o1530_o15_f0_fsc.sym.2,1.0,298.15,0.14106,1.2255,3.8748,76.4955,72.6207,1874.17,5.23,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No47,1.0,298.15,0.14387,1.354,4.3663,74.9135,70.5472,1615.72,6.74,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No223,1.0,298.15,0.144593,1.354,4.3882,74.9135,70.5253,1607.15,6.74,1.5,0.05,ok
DB0-m3_o150_o15_f0_fsc.sym.44,1.0,298.15,0.146693,1.405,4.6195,88.9714,84.3519,1826.0,6.03,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No149,1.0,298.15,0.147758,1.354,4.4843,74.9135,70.4292,1570.58,6.74,1.5,0.05,ok
DB0-m3_o470_o15_f0_fsc.sym.17,1.0,298.15,0.148205,1.3522,4.4917,77.0133,72.5216,1614.56,4.51,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No97,1.0,298.15,0.148733,1.354,4.5139,74.9135,70.3997,1559.63,6.74,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.18,1.0,298.15,0.155041,1.3125,4.561,93.4717,88.9107,1949.37,5.24,1.5,0.05,ok
DB0-m3_o47_o15_f0_fsc.sym.3,1.0,298.15,0.157707,1.3456,4.7567,83.3074,78.5508,1651.39,4.51,1.5,0.05,ok
DB0-m3_o490_o15_f0_fsc.sym.4,1.0,298.15,0.164568,1.433,5.2859,99.3999,94.114,1780.48,4.31,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.18,1.0,298.15,0.164794,1.3897,5.1333,81.3269,76.1936,1484.3,4.38,1.5,0.05,ok
DB0-m3_o490_o15_f0_fsc.sym.3,1.0,298.15,0.16859,1.3868,5.2404,99.4534,94.213,1797.83,4.29,1.5,0.05,ok
DB0-m3_o1520_o15_f0_fsc.sym.2,1.0,298.15,0.170715,1.2527,4.7933,80.7125,75.9192,1583.86,5.25,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.2,1.0,298.15,0.175957,1.2569,4.9571,76.0069,71.0498,1433.3,5.25,1.5,0.05,ok
DB0-m3_o1470_o15_f0_fsc.sym.3,1.0,298.15,0.191044,1.4365,6.1513,89.0733,82.922,1348.04,4.32,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No83,1.0,298.15,0.201392,1.3398,6.0478,73.715,67.6672,1118.88,6.74,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No11,1.0,298.15,0.204834,1.3398,6.1512,73.715,67.5638,1098.39,6.74,1.5,0.05,ok
DB5-hypotheticalMOF_33053_0_0_2_0_25_3,5.0,298.15,0.00589,1.319,0.1741,98.8399,98.6658,56666.37,7.08,1.5,0.398,ok
DB1-AlO6-mofHTB_No11,5.0,298.15,0.008003,1.3985,0.2509,105.1049,104.8541,41797.36,7.48,1.5,0.05,ok
DB0-m3_o1_o7_f0_nbo.sym.79,5.0,298.15,0.008256,1.0883,0.2014,106.27,106.0686,52670.59,14.22,5.13,0.675,ok
DB0-m9_o2_o2_f0_sra.sym.42,5.0,298.15,0.00829,1.2345,0.2294,104.8227,104.5933,45597.22,7.63,1.5,0.05,ok
DB1-AlO6-mof200_No4,5.0,298.15,0.008626,0.9144,0.1768,86.6183,86.4416,48892.84,9.52,1.5,0.361,ok
DB12-EPONAA_clean,5.0,298.15,0.008647,0.4952,0.096,137.4133,137.3174,143065.44,8.14,1.95,0.77,ok
DB0-m9_o13_o20_f0_sra.sym.96,5.0,298.15,0.008736,1.1656,0.2282,93.4843,93.2561,40857.31,8.18,1.5,0.05,ok
DB0-m3_o25_o146_f0_fsc.sym.26,5.0,298.15,0.008827,1.0887,0.2154,105.1897,104.9743,48733.51,6.23,1.5,0.244,ok
DB1-AlO6-mofHTB_No12,5.0,298.15,0.008843,0.7877,0.1561,73.6926,73.5365,47104.79,7.48,1.5,0.314,ok
DB0-m2_o1_o9_f0_nbo.sym.104,5.0,298.15,0.00943,1.1558,0.2443,124.691,124.4467,50937.22,7.51,3.86,0.548,ok
DB1-AlO6-ADC_A_No4,5.0,298.15,0.009518,0.5013,0.1069,79.9557,79.8487,74666.43,11.52,1.5,0.47,ok
DB0-m2_o24_o24_f0_nbo.sym.15,5.0,298.15,0.009566,0.6893,0.1478,100.8544,100.7066,68138.15,12.15,4.96,0.514,ok
